INFO:root:Start SimCLR training for 400 epochs.
INFO:root:Training with gpu: None.
DEBUG:root:Epoch: 0	Loss: 2.068525552749634	Best ACC: 19.53125
DEBUG:root:Epoch: 1	Loss: 1.9625470638275146	Best ACC: 28.90625
DEBUG:root:Epoch: 2	Loss: 2.011542797088623	Best ACC: 30.078125
DEBUG:root:Epoch: 3	Loss: 1.9963600635528564	Best ACC: 30.46875
DEBUG:root:Epoch: 4	Loss: 1.922889232635498	Best ACC: 31.640625
DEBUG:root:Epoch: 5	Loss: 1.9345307350158691	Best ACC: 25.390625
DEBUG:root:Epoch: 6	Loss: 1.809010624885559	Best ACC: 30.078125
DEBUG:root:Epoch: 7	Loss: 1.9014400243759155	Best ACC: 36.71875
DEBUG:root:Epoch: 8	Loss: 1.8472903966903687	Best ACC: 32.421875
DEBUG:root:Epoch: 9	Loss: 1.7886419296264648	Best ACC: 36.71875
DEBUG:root:Epoch: 10	Loss: 1.8616646528244019	Best ACC: 33.59375
DEBUG:root:Epoch: 11	Loss: 1.8312405347824097	Best ACC: 40.234375
DEBUG:root:Epoch: 12	Loss: 1.7798558473587036	Best ACC: 39.453125
DEBUG:root:Epoch: 13	Loss: 1.7645654678344727	Best ACC: 44.140625
DEBUG:root:Epoch: 14	Loss: 1.753676414489746	Best ACC: 37.5
DEBUG:root:Epoch: 15	Loss: 1.722312569618225	Best ACC: 41.796875
DEBUG:root:Epoch: 16	Loss: 1.7216345071792603	Best ACC: 38.671875
DEBUG:root:Epoch: 17	Loss: 1.6348439455032349	Best ACC: 41.40625
DEBUG:root:Epoch: 18	Loss: 1.8369735479354858	Best ACC: 41.796875
DEBUG:root:Epoch: 19	Loss: 1.7403533458709717	Best ACC: 43.359375
DEBUG:root:Epoch: 20	Loss: 1.5579249858856201	Best ACC: 39.0625
DEBUG:root:Epoch: 21	Loss: 1.637440800666809	Best ACC: 42.578125
DEBUG:root:Epoch: 22	Loss: 1.6368257999420166	Best ACC: 48.4375
DEBUG:root:Epoch: 23	Loss: 1.6380559206008911	Best ACC: 46.484375
DEBUG:root:Epoch: 24	Loss: 1.6218657493591309	Best ACC: 41.015625
DEBUG:root:Epoch: 25	Loss: 1.648449182510376	Best ACC: 41.015625
DEBUG:root:Epoch: 26	Loss: 1.566710352897644	Best ACC: 46.484375
DEBUG:root:Epoch: 27	Loss: 1.5731626749038696	Best ACC: 48.828125
DEBUG:root:Epoch: 28	Loss: 1.4821938276290894	Best ACC: 49.609375
DEBUG:root:Epoch: 29	Loss: 1.4863903522491455	Best ACC: 43.359375
DEBUG:root:Epoch: 30	Loss: 1.4810597896575928	Best ACC: 52.734375
DEBUG:root:Epoch: 31	Loss: 1.5418221950531006	Best ACC: 49.609375
DEBUG:root:Epoch: 32	Loss: 1.4956657886505127	Best ACC: 47.265625
DEBUG:root:Epoch: 33	Loss: 1.532271385192871	Best ACC: 51.5625
DEBUG:root:Epoch: 34	Loss: 1.4224005937576294	Best ACC: 46.484375
DEBUG:root:Epoch: 35	Loss: 1.4314924478530884	Best ACC: 48.046875
DEBUG:root:Epoch: 36	Loss: 1.5680091381072998	Best ACC: 50.390625
DEBUG:root:Epoch: 37	Loss: 1.448596477508545	Best ACC: 52.734375
DEBUG:root:Epoch: 38	Loss: 1.3442007303237915	Best ACC: 56.640625
DEBUG:root:Epoch: 39	Loss: 1.4784055948257446	Best ACC: 48.4375
DEBUG:root:Epoch: 40	Loss: 1.3846813440322876	Best ACC: 52.34375
DEBUG:root:Epoch: 41	Loss: 1.3504821062088013	Best ACC: 51.953125
DEBUG:root:Epoch: 42	Loss: 1.3624317646026611	Best ACC: 44.921875
DEBUG:root:Epoch: 43	Loss: 1.3118340969085693	Best ACC: 52.34375
DEBUG:root:Epoch: 44	Loss: 1.433250069618225	Best ACC: 50.0
DEBUG:root:Epoch: 45	Loss: 1.3697818517684937	Best ACC: 57.421875
DEBUG:root:Epoch: 46	Loss: 1.341575026512146	Best ACC: 52.734375
DEBUG:root:Epoch: 47	Loss: 1.327434778213501	Best ACC: 56.640625
DEBUG:root:Epoch: 48	Loss: 1.2801809310913086	Best ACC: 55.078125
DEBUG:root:Epoch: 49	Loss: 1.4078549146652222	Best ACC: 62.109375
DEBUG:root:Epoch: 50	Loss: 1.3492493629455566	Best ACC: 61.328125
DEBUG:root:Epoch: 51	Loss: 1.2354419231414795	Best ACC: 53.125
DEBUG:root:Epoch: 52	Loss: 1.2964088916778564	Best ACC: 55.46875
DEBUG:root:Epoch: 53	Loss: 1.1785593032836914	Best ACC: 55.46875
DEBUG:root:Epoch: 54	Loss: 1.2470593452453613	Best ACC: 52.734375
DEBUG:root:Epoch: 55	Loss: 1.2141468524932861	Best ACC: 57.03125
DEBUG:root:Epoch: 56	Loss: 1.2854911088943481	Best ACC: 60.15625
DEBUG:root:Epoch: 57	Loss: 1.3318052291870117	Best ACC: 57.421875
DEBUG:root:Epoch: 58	Loss: 1.334981918334961	Best ACC: 56.25
DEBUG:root:Epoch: 59	Loss: 1.1284339427947998	Best ACC: 55.859375
DEBUG:root:Epoch: 60	Loss: 1.2082825899124146	Best ACC: 61.328125
DEBUG:root:Epoch: 61	Loss: 1.1854318380355835	Best ACC: 57.03125
DEBUG:root:Epoch: 62	Loss: 1.2638627290725708	Best ACC: 55.46875
DEBUG:root:Epoch: 63	Loss: 1.1928691864013672	Best ACC: 58.59375
DEBUG:root:Epoch: 64	Loss: 1.2684369087219238	Best ACC: 61.71875
DEBUG:root:Epoch: 65	Loss: 1.169042944908142	Best ACC: 56.640625
DEBUG:root:Epoch: 66	Loss: 1.161980390548706	Best ACC: 49.609375
DEBUG:root:Epoch: 67	Loss: 1.2977221012115479	Best ACC: 61.328125
DEBUG:root:Epoch: 68	Loss: 1.2220258712768555	Best ACC: 64.0625
DEBUG:root:Epoch: 69	Loss: 1.1947176456451416	Best ACC: 52.734375
DEBUG:root:Epoch: 70	Loss: 1.2354274988174438	Best ACC: 55.078125
DEBUG:root:Epoch: 71	Loss: 1.226048231124878	Best ACC: 61.71875
DEBUG:root:Epoch: 72	Loss: 1.151106834411621	Best ACC: 56.25
DEBUG:root:Epoch: 73	Loss: 1.1925747394561768	Best ACC: 59.375
DEBUG:root:Epoch: 74	Loss: 1.1402180194854736	Best ACC: 62.5
DEBUG:root:Epoch: 75	Loss: 1.0815815925598145	Best ACC: 55.859375
DEBUG:root:Epoch: 76	Loss: 1.1229368448257446	Best ACC: 66.015625
DEBUG:root:Epoch: 77	Loss: 1.1097707748413086	Best ACC: 59.765625
DEBUG:root:Epoch: 78	Loss: 1.152882695198059	Best ACC: 56.25
DEBUG:root:Epoch: 79	Loss: 1.0303791761398315	Best ACC: 58.59375
DEBUG:root:Epoch: 80	Loss: 1.182887315750122	Best ACC: 62.109375
DEBUG:root:Epoch: 81	Loss: 1.1334463357925415	Best ACC: 60.9375
DEBUG:root:Epoch: 82	Loss: 1.0056875944137573	Best ACC: 62.109375
DEBUG:root:Epoch: 83	Loss: 1.233467698097229	Best ACC: 64.453125
DEBUG:root:Epoch: 84	Loss: 1.049067735671997	Best ACC: 58.203125
DEBUG:root:Epoch: 85	Loss: 1.0321681499481201	Best ACC: 63.671875
DEBUG:root:Epoch: 86	Loss: 1.162702202796936	Best ACC: 59.375
DEBUG:root:Epoch: 87	Loss: 0.942502498626709	Best ACC: 57.421875
DEBUG:root:Epoch: 88	Loss: 1.1279778480529785	Best ACC: 59.375
DEBUG:root:Epoch: 89	Loss: 1.0347900390625	Best ACC: 59.375
DEBUG:root:Epoch: 90	Loss: 1.1042630672454834	Best ACC: 59.375
DEBUG:root:Epoch: 91	Loss: 1.0544495582580566	Best ACC: 66.40625
DEBUG:root:Epoch: 92	Loss: 1.0469659566879272	Best ACC: 61.328125
DEBUG:root:Epoch: 93	Loss: 1.024641990661621	Best ACC: 58.984375
DEBUG:root:Epoch: 94	Loss: 1.0373908281326294	Best ACC: 66.015625
DEBUG:root:Epoch: 95	Loss: 0.9994983673095703	Best ACC: 62.5
DEBUG:root:Epoch: 96	Loss: 1.0860729217529297	Best ACC: 61.328125
DEBUG:root:Epoch: 97	Loss: 1.1507216691970825	Best ACC: 62.890625
DEBUG:root:Epoch: 98	Loss: 1.1295884847640991	Best ACC: 66.796875
DEBUG:root:Epoch: 99	Loss: 1.1642102003097534	Best ACC: 64.0625
DEBUG:root:Epoch: 100	Loss: 1.0593359470367432	Best ACC: 66.015625
DEBUG:root:Epoch: 101	Loss: 1.130483627319336	Best ACC: 62.109375
DEBUG:root:Epoch: 102	Loss: 1.0670192241668701	Best ACC: 62.890625
DEBUG:root:Epoch: 103	Loss: 1.1334130764007568	Best ACC: 60.9375
DEBUG:root:Epoch: 104	Loss: 0.977526068687439	Best ACC: 68.359375
DEBUG:root:Epoch: 105	Loss: 1.0500502586364746	Best ACC: 62.890625
DEBUG:root:Epoch: 106	Loss: 0.9785038232803345	Best ACC: 64.84375
DEBUG:root:Epoch: 107	Loss: 0.961124062538147	Best ACC: 64.453125
DEBUG:root:Epoch: 108	Loss: 0.9776467084884644	Best ACC: 61.71875
DEBUG:root:Epoch: 109	Loss: 0.9504619836807251	Best ACC: 61.71875
DEBUG:root:Epoch: 110	Loss: 0.9954092502593994	Best ACC: 64.84375
DEBUG:root:Epoch: 111	Loss: 0.9982948899269104	Best ACC: 59.765625
DEBUG:root:Epoch: 112	Loss: 0.9364279508590698	Best ACC: 66.796875
DEBUG:root:Epoch: 113	Loss: 1.1041799783706665	Best ACC: 68.75
DEBUG:root:Epoch: 114	Loss: 0.939892053604126	Best ACC: 60.15625
DEBUG:root:Epoch: 115	Loss: 0.8722488880157471	Best ACC: 61.71875
DEBUG:root:Epoch: 116	Loss: 0.9842134118080139	Best ACC: 67.1875
DEBUG:root:Epoch: 117	Loss: 0.9990648031234741	Best ACC: 66.796875
DEBUG:root:Epoch: 118	Loss: 1.0597172975540161	Best ACC: 63.671875
DEBUG:root:Epoch: 119	Loss: 1.0956296920776367	Best ACC: 66.796875
DEBUG:root:Epoch: 120	Loss: 1.1036064624786377	Best ACC: 60.15625
DEBUG:root:Epoch: 121	Loss: 1.065839171409607	Best ACC: 67.96875
DEBUG:root:Epoch: 122	Loss: 0.9909444451332092	Best ACC: 69.53125
DEBUG:root:Epoch: 123	Loss: 0.9749533534049988	Best ACC: 71.875
DEBUG:root:Epoch: 124	Loss: 0.7988457083702087	Best ACC: 65.625
DEBUG:root:Epoch: 125	Loss: 1.0818458795547485	Best ACC: 64.0625
DEBUG:root:Epoch: 126	Loss: 0.9234700798988342	Best ACC: 65.234375
DEBUG:root:Epoch: 127	Loss: 0.9287523031234741	Best ACC: 64.453125
DEBUG:root:Epoch: 128	Loss: 0.9942032098770142	Best ACC: 65.625
DEBUG:root:Epoch: 129	Loss: 0.953498125076294	Best ACC: 76.171875
DEBUG:root:Epoch: 130	Loss: 0.9178382158279419	Best ACC: 66.796875
DEBUG:root:Epoch: 131	Loss: 1.026599407196045	Best ACC: 66.796875
DEBUG:root:Epoch: 132	Loss: 1.0342578887939453	Best ACC: 75.0
DEBUG:root:Epoch: 133	Loss: 0.9951798319816589	Best ACC: 68.75
DEBUG:root:Epoch: 134	Loss: 1.0132492780685425	Best ACC: 64.453125
DEBUG:root:Epoch: 135	Loss: 0.853874146938324	Best ACC: 65.625
DEBUG:root:Epoch: 136	Loss: 0.9752227663993835	Best ACC: 65.234375
DEBUG:root:Epoch: 137	Loss: 0.7383946180343628	Best ACC: 67.1875
DEBUG:root:Epoch: 138	Loss: 0.8554255366325378	Best ACC: 66.40625
DEBUG:root:Epoch: 139	Loss: 0.8274555206298828	Best ACC: 73.046875
DEBUG:root:Epoch: 140	Loss: 0.9016537070274353	Best ACC: 70.3125
DEBUG:root:Epoch: 141	Loss: 0.8893205523490906	Best ACC: 62.890625
DEBUG:root:Epoch: 142	Loss: 0.8620272278785706	Best ACC: 69.921875
DEBUG:root:Epoch: 143	Loss: 0.9390276670455933	Best ACC: 73.828125
DEBUG:root:Epoch: 144	Loss: 0.9246947169303894	Best ACC: 65.625
DEBUG:root:Epoch: 145	Loss: 0.9866114258766174	Best ACC: 64.453125
DEBUG:root:Epoch: 146	Loss: 0.988743007183075	Best ACC: 64.453125
DEBUG:root:Epoch: 147	Loss: 0.838941216468811	Best ACC: 75.0
DEBUG:root:Epoch: 148	Loss: 0.9648779630661011	Best ACC: 69.140625
DEBUG:root:Epoch: 149	Loss: 0.9757378101348877	Best ACC: 67.578125
DEBUG:root:Epoch: 150	Loss: 0.9894510507583618	Best ACC: 70.703125
DEBUG:root:Epoch: 151	Loss: 0.8897149562835693	Best ACC: 66.796875
DEBUG:root:Epoch: 152	Loss: 0.8721011877059937	Best ACC: 73.4375
DEBUG:root:Epoch: 153	Loss: 0.973530113697052	Best ACC: 65.625
DEBUG:root:Epoch: 154	Loss: 0.8475301861763	Best ACC: 62.109375
DEBUG:root:Epoch: 155	Loss: 0.8292095065116882	Best ACC: 69.921875
DEBUG:root:Epoch: 156	Loss: 0.9209004640579224	Best ACC: 65.625
DEBUG:root:Epoch: 157	Loss: 0.9029771089553833	Best ACC: 69.921875
DEBUG:root:Epoch: 158	Loss: 0.9028023481369019	Best ACC: 75.78125
DEBUG:root:Epoch: 159	Loss: 0.9046651721000671	Best ACC: 71.09375
DEBUG:root:Epoch: 160	Loss: 0.8871883749961853	Best ACC: 69.921875
DEBUG:root:Epoch: 161	Loss: 0.7478892207145691	Best ACC: 69.921875
DEBUG:root:Epoch: 162	Loss: 0.7438335418701172	Best ACC: 61.328125
DEBUG:root:Epoch: 163	Loss: 0.8857542276382446	Best ACC: 67.96875
DEBUG:root:Epoch: 164	Loss: 0.8936595320701599	Best ACC: 72.65625
DEBUG:root:Epoch: 165	Loss: 0.8977463245391846	Best ACC: 75.0
DEBUG:root:Epoch: 166	Loss: 0.8315359950065613	Best ACC: 73.828125
DEBUG:root:Epoch: 167	Loss: 0.8849301934242249	Best ACC: 66.015625
DEBUG:root:Epoch: 168	Loss: 0.808361828327179	Best ACC: 67.1875
DEBUG:root:Epoch: 169	Loss: 0.8844494223594666	Best ACC: 69.53125
DEBUG:root:Epoch: 170	Loss: 0.8462770581245422	Best ACC: 69.53125
DEBUG:root:Epoch: 171	Loss: 0.8982424736022949	Best ACC: 66.796875
DEBUG:root:Epoch: 172	Loss: 0.8341097235679626	Best ACC: 70.703125
DEBUG:root:Epoch: 173	Loss: 0.8148280382156372	Best ACC: 71.875
DEBUG:root:Epoch: 174	Loss: 0.8770899176597595	Best ACC: 69.53125
DEBUG:root:Epoch: 175	Loss: 0.9113610982894897	Best ACC: 68.359375
DEBUG:root:Epoch: 176	Loss: 0.8515866994857788	Best ACC: 74.609375
DEBUG:root:Epoch: 177	Loss: 0.8611071705818176	Best ACC: 73.4375
DEBUG:root:Epoch: 178	Loss: 0.8454739451408386	Best ACC: 69.140625
DEBUG:root:Epoch: 179	Loss: 0.7961277365684509	Best ACC: 69.921875
DEBUG:root:Epoch: 180	Loss: 0.8417481780052185	Best ACC: 69.140625
DEBUG:root:Epoch: 181	Loss: 0.9117503762245178	Best ACC: 71.09375
DEBUG:root:Epoch: 182	Loss: 0.7898432016372681	Best ACC: 68.75
DEBUG:root:Epoch: 183	Loss: 0.7832946181297302	Best ACC: 66.015625
DEBUG:root:Epoch: 184	Loss: 0.7828139066696167	Best ACC: 72.65625
DEBUG:root:Epoch: 185	Loss: 0.8242374658584595	Best ACC: 69.921875
DEBUG:root:Epoch: 186	Loss: 0.8430310487747192	Best ACC: 72.65625
DEBUG:root:Epoch: 187	Loss: 0.8732079863548279	Best ACC: 75.0
DEBUG:root:Epoch: 188	Loss: 0.7995101809501648	Best ACC: 72.65625
DEBUG:root:Epoch: 189	Loss: 0.773887574672699	Best ACC: 67.96875
DEBUG:root:Epoch: 190	Loss: 0.8166709542274475	Best ACC: 72.65625
DEBUG:root:Epoch: 191	Loss: 0.8774568438529968	Best ACC: 69.921875
DEBUG:root:Epoch: 192	Loss: 0.8209494352340698	Best ACC: 65.625
DEBUG:root:Epoch: 193	Loss: 0.8228614330291748	Best ACC: 68.75
DEBUG:root:Epoch: 194	Loss: 0.9529035687446594	Best ACC: 68.75
DEBUG:root:Epoch: 195	Loss: 0.7919585108757019	Best ACC: 67.1875
DEBUG:root:Epoch: 196	Loss: 0.7156949639320374	Best ACC: 69.140625
DEBUG:root:Epoch: 197	Loss: 0.8066238164901733	Best ACC: 69.921875
DEBUG:root:Epoch: 198	Loss: 0.8253379464149475	Best ACC: 72.265625
DEBUG:root:Epoch: 199	Loss: 0.8459378480911255	Best ACC: 74.21875
DEBUG:root:Epoch: 200	Loss: 0.7947690486907959	Best ACC: 64.84375
DEBUG:root:Epoch: 201	Loss: 0.8605177998542786	Best ACC: 76.953125
DEBUG:root:Epoch: 202	Loss: 0.8777278065681458	Best ACC: 68.359375
DEBUG:root:Epoch: 203	Loss: 0.8928827047348022	Best ACC: 68.359375
DEBUG:root:Epoch: 204	Loss: 0.8437832593917847	Best ACC: 69.140625
DEBUG:root:Epoch: 205	Loss: 0.7977520227432251	Best ACC: 74.609375
DEBUG:root:Epoch: 206	Loss: 0.8458938002586365	Best ACC: 67.1875
DEBUG:root:Epoch: 207	Loss: 0.8713423013687134	Best ACC: 69.140625
DEBUG:root:Epoch: 208	Loss: 0.8029109835624695	Best ACC: 76.5625
DEBUG:root:Epoch: 209	Loss: 0.894916832447052	Best ACC: 75.0
DEBUG:root:Epoch: 210	Loss: 0.8931670188903809	Best ACC: 74.21875
DEBUG:root:Epoch: 211	Loss: 0.775550365447998	Best ACC: 74.21875
