INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: None.
DEBUG:root:Epoch: 0	Loss: 0.7082607746124268	Best ACC: 74.609375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 1	Loss: 0.7872887849807739	Best ACC: 77.734375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 2	Loss: 0.49409982562065125	Best ACC: 82.03125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 3	Loss: 0.6153264045715332	Best ACC: 82.03125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 4	Loss: 0.6047099232673645	Best ACC: 84.375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 5	Loss: 0.6009623408317566	Best ACC: 89.453125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 6	Loss: 0.4492408037185669	Best ACC: 82.8125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 7	Loss: 0.5328141450881958	Best ACC: 85.546875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 8	Loss: 0.4982609748840332	Best ACC: 85.546875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 9	Loss: 0.5056018233299255	Best ACC: 84.765625	 10 Best Acc: 100.0
DEBUG:root:Epoch: 10	Loss: 0.38191044330596924	Best ACC: 85.9375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 11	Loss: 0.42280247807502747	Best ACC: 87.5	 10 Best Acc: 100.0
DEBUG:root:Epoch: 12	Loss: 0.3935338258743286	Best ACC: 84.375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 13	Loss: 0.4604974389076233	Best ACC: 85.9375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 14	Loss: 0.2972227931022644	Best ACC: 86.328125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 15	Loss: 0.3591999113559723	Best ACC: 83.984375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 16	Loss: 0.39671939611434937	Best ACC: 87.109375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 17	Loss: 0.38286855816841125	Best ACC: 85.9375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 18	Loss: 0.422542929649353	Best ACC: 83.59375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 19	Loss: 0.4222172200679779	Best ACC: 88.671875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 20	Loss: 0.32504451274871826	Best ACC: 87.5	 10 Best Acc: 100.0
